TimeStamp,A,B,C,D,E,F
19981218,19.8201,9.14186,13.1893,30.1069,31.2632,30.8968
19981221,20.6123,9.47892,13.0836,30.8049,31.6672,30.7633
19981222,20.1419,9.59975,12.7837,30.8868,31.5904,31.6878
19981223,20.0956,9.63791,12.8042,30.6455,32.8509,32.9606
19981224,19.8981,9.66017,12.8689,30.4818,32.7783,32.9606
19981228,20.0029,9.66017,13.0189,30.6972,32.1965,32.6547
19981229,20.0029,9.89865,13.3803,31.1539,33.1297,32.9184
19981230,20.5977,9.77782,13.4451,30.9385,32.4752,32.4332
19981231,20.7196,10.0958,13.5507,30.1586,32.7499,32.0817
19990104,21.2071,9.61883,13.595,30.7713,32.6489,31.6632
19990105,22.1821,9.50118,13.636,31.3689,32.8509,32.2153
19990106,21.8628,9.67925,13.595,32.0704,33.3318,32.6547
19990107,22.7769,9.85732,13.595,33.3436,33.9621,31.9269
19990108,22.8379,10.0354,13.5507,32.7503,33.7115,31.3363
19990111,23.1426,9.93681,13.0394,33.127,32.9802,30.5874
19990112,22.0603,9.59975,12.6337,32.0185,32.4752,31.1148
19990113,22.5015,9.47892,12.5076,31.1524,32.6004,31.0058
19990114,22.9597,9.58067,12.1462,29.5805,32.2206,29.93
19990115,24.2541,9.67925,12.4224,30.5851,32.4752,30.4784
19990119,24.9098,9.81916,12.5281,32.235,32.2732,30.3905
19990120,24.4832,9.91773,12.678,33.4778,32.2975,29.895
19990121,23.7666,9.95589,12.6337,32.6117,31.9702,30.5334
19990122,23.9202,9.85732,12.4428,31.1264,32.9278,30.0713
19990125,24.8343,9.85732,12.3575,32.1787,33.0812,29.454
19990126,24.7124,9.81916,12.1666,32.0704,33.7883,30.1595
19990127,24.8952,9.67925,11.911,31.6374,34.3943,30.4698
19990128,26.0531,9.47892,12.1223,31.8539,34.4429,31.0201
19990129,26.5698,9.67925,11.9315,33.2353,34.6973,32.0573
19990201,26.1579,9.53934,11.5497,33.2613,34.0913,31.969
19990202,25.3657,9.53934,11.611,33.2613,33.7883,31.6375
19990203,25.1219,9.39943,11.5474,34.3179,34.6448,31.4153
19990204,23.8885,9.73966,11.633,33.6943,34.0388,30.999
19990205,23.7666,9.7174,11.7187,33.1011,33.7115,29.9408
19990208,24.1932,10.0163,11.825,31.6677,34.5438,30.4028
19990209,23.3717,10.0958,11.376,31.4209,33.1823,30.424
19990210,23.8275,10.1149,11.2252,31.6114,32.7015,30.9531
19990211,25.4437,10.0576,11.6537,32.8845,34.6206,31.2177
19990212,24.9391,9.77782,11.7839,32.209,34.2934,30.865
19990216,25.8093,9.83824,11.9552,33.6424,35.4044,31.5281
19990217,24.3614,9.65739,12.5105,33.5081,34.4186,31.9232
19990218,24.3614,10.0157,12.6819,32.9928,34.4953,32.3218
19990219,25.3364,10.2364,12.5756,33.0188,34.2408,32.2548
19990222,25.412,10.6778,12.8738,34.9674,35.6306,32.7839
19990223,26.3261,10.3963,12.7675,35.565,35.2751,32.1454
19990224,25.6703,10.4955,12.3186,33.8849,34.0388,31.6375
19990225,25.5046,11.276,12.5962,34.3179,34.3176,31.6798
19990226,24.9854,10.9369,12.6819,34.5344,34.5681,31.5034
19990301,24.3614,11.356,12.6819,35.0497,34.6973,31.4611
19990302,23.9202,11.4967,12.8121,34.7249,34.5681,31.8562
19990303,23.8129,11.6151,12.6613,34.9415,35.3276,32.1878
19990304,24.5734,11.5159,13.0041,35.9981,36.0831,32.41
19990305,25.5948,11.5959,13.2817,37.5916,37.6265,33.0484
19990308,27.0573,11.6759,13.2817,37.1586,37.776,32.7839
19990309,27.7277,11.6759,12.9835,38.1632,37.8527,32.6498
19990310,27.4084,11.7367,13.3263,38.4057,37.8003,32.4312
19990311,28.2006,11.6375,13.5182,38.3234,38.4345,32.41
19990312,27.3937,11.6759,13.2817,38.0809,38.7861,31.9444
19990315,28.2908,11.7175,13.2611,37.6739,39.0405,32.2336
19990316,28.749,11.6375,12.8327,36.6996,38.7618,32.41
19990317,29.0074,11.5767,12.4694,35.7252,39.0287,32.2971
19990318,29.2049,11.6151,13.3263,36.2146,39.688,32.7168
19990319,28.6881,11.7175,13.2406,35.7252,38.5474,33.0484
19990322,28.2908,11.6151,13.3468,35.4568,37.8154,33.6657
19990323,27.5766,11.0553,12.8738,34.4824,36.5778,33.1367
19990324,29.0074,11.196,12.747,34.4521,35.9712,33.6199
19990325,30.2725,11.3976,12.7264,35.3182,37.1602,35.5176
19990326,29.846,11.4552,12.4694,34.9155,37.0833,35.0555
19990329,31.5669,11.5767,12.8532,35.5347,38.5232,35.627
19990330,31.3548,11.1768,12.3597,35.5087,38.3453,35.4083
19990331,31.1403,11.436,12.017,35.2922,37.3624,34.5265
19990401,31.233,11.5767,12.5756,34.4655,37.6132,34.7451
19990405,32.481,11.6951,12.8327,34.3306,38.5758,35.5176
19990406,31.9789,11.2952,12.9595,34.6266,38.7011,35.4506
19990407,32.6784,11.1353,13.3468,36.7766,39.4089,35.4965
19990408,32.5883,11.436,13.5593,38.2172,41.3058,35.5388
19990409,32.8466,11.3976,13.6039,37.3772,41.6576,35.8034
19990412,31.8253,11.5959,13.645,37.8124,42.4664,36.2654
19990413,31.8253,11.1577,13.4976,37.9735,42.2643,36.2901
19990414,30.5017,11.1768,13.5387,37.5948,39.7365,34.9885
19990415,28.0933,11.2952,13.8164,37.2945,39.4574,34.216
19990416,25.9312,11.2568,13.8404,37.4555,38.3978,34.6146
19990419,24.376,11.356,14.1386,36.8854,36.1976,33.4223
19990420,24.8635,11.5159,14.5259,35.7973,38.4221,33.7962
19990421,26.6161,11.855,14.5019,36.3153,39.1339,35.0045
19990422,27.011,12.3156,14.6116,37.1857,40.598,33.2568
19990423,26.9818,12.0373,14.6321,36.9681,41.1561,31.9513
19990426,28.1396,11.7558,14.6321,35.9061,41.2532,33.5221
19990427,28.398,11.935,15.0811,37.3467,40.598,33.101
19990428,26.9672,11.6567,14.9954,36.5329,39.8861,32.6836
19990429,26.0677,11.7367,14.9543,36.5068,37.8639,33.0798
19990430,26.3724,11.7175,14.8241,36.1238,36.8528,33.1895
19990503,26.0677,12.0373,14.9304,36.0149,37.4109,33.3452
19990504,24.3467,11.7558,15.016,35.9061,35.591,32.4395
19990505,23.4936,11.7367,15.0643,34.9269,36.3028,32.1741
19990506,23.3717,11.5959,14.8714,33.7866,34.6284,32.5951
19990507,23.6301,11.775,14.8059,34.113,35.8418,32.1069
19990510,24.5734,11.6151,14.5477,34.3002,36.602,31.9088
19990511,26.1432,12.0373,14.6993,34.7658,38.2198,32.4395
19990512,26.9672,12.2357,14.8507,35.7146,37.6617,32.9029
19990513,25.6411,12.0565,14.892,36.559,37.9205,32.5704
19990514,25.351,11.7367,14.4617,34.5482,37.4109,32.7932
19990517,24.9561,11.5575,14.076,34.2479,37.0065,33.2568
19990518,25.702,11.3145,13.9038,34.2479,37.5646,33.1895
19990519,25.9312,11.4752,14.1827,34.8442,36.958,33.5893
19990520,25.1073,11.2148,14.224,34.953,35.9954,34.1625
19990521,25.1536,10.9929,14.3101,34.409,34.9358,34.4066
19990524,24.8026,10.9737,14.0519,33.0249,34.5313,33.2355
19990525,23.9031,10.8933,13.2772,32.1545,33.9732,33.4336
19990526,24.9391,11.3949,14.138,32.8073,34.7821,33.8335
19990527,24.1932,10.8933,13.5354,31.5278,33.318,33.3027
19990528,24.3467,11.2341,13.7317,31.4451,34.5798,33.1683
19990601,23.9518,11.2534,13.7524,31.2275,35.0894,33.7874
19990602,23.9518,11.3756,13.6663,30.8488,35.8418,33.324
19990603,23.2791,11.5749,13.6869,31.0664,36.7557,33.0798
19990604,25.2925,11.8964,13.773,32.3155,37.1602,34.1872
19990607,26.1457,12.1183,14.076,33.3514,36.958,34.495
